,0
0,-200.0
1,-200.0
2,-200.0
3,-200.0
4,-200.0
5,-200.0
6,-200.0
7,-200.0
8,-200.0
9,-200.0
10,-200.0
11,-200.0
12,-200.0
13,-200.0
14,-200.0
15,-200.0
16,-200.0
17,-200.0
18,-200.0
19,-200.0
20,-200.0
21,-200.0
22,-200.0
23,-200.0
24,-200.0
25,-200.0
26,-200.0
27,-200.0
28,-200.0
29,-200.0
30,-200.0
31,-200.0
32,-200.0
33,-150.0
34,-200.0
35,-200.0
36,-200.0
37,-200.0
38,-154.0
39,-200.0
40,-200.0
41,-200.0
42,-200.0
43,-200.0
44,-200.0
45,-200.0
46,-162.0
47,-156.0
48,-200.0
49,-200.0
50,-200.0
51,-200.0
52,-200.0
53,-200.0
54,-200.0
55,-200.0
56,-200.0
57,-200.0
58,-200.0
59,-200.0
60,-200.0
61,-200.0
62,-200.0
63,-200.0
64,-175.0
65,-200.0
66,-200.0
67,-187.0
68,-158.0
69,-200.0
70,-200.0
71,-200.0
72,-200.0
73,-200.0
74,-200.0
75,-200.0
76,-200.0
77,-200.0
78,-200.0
79,-169.0
80,-200.0
81,-171.0
82,-159.0
83,-200.0
84,-170.0
85,-200.0
86,-200.0
87,-200.0
88,-194.0
89,-156.0
90,-200.0
91,-200.0
92,-200.0
93,-200.0
94,-165.0
95,-162.0
96,-200.0
97,-156.0
98,-181.0
99,-122.0
100,-200.0
101,-193.0
102,-165.0
103,-164.0
104,-168.0
105,-149.0
106,-146.0
107,-175.0
108,-135.0
109,-200.0
110,-187.0
111,-200.0
112,-138.0
113,-200.0
114,-200.0
115,-200.0
116,-165.0
117,-168.0
118,-200.0
119,-200.0
120,-200.0
121,-199.0
122,-191.0
123,-133.0
124,-177.0
125,-89.0
126,-119.0
127,-183.0
128,-131.0
129,-129.0
130,-185.0
131,-117.0
132,-200.0
133,-149.0
134,-138.0
135,-167.0
136,-125.0
137,-120.0
138,-192.0
139,-156.0
140,-173.0
141,-168.0
142,-142.0
143,-141.0
144,-200.0
145,-122.0
146,-190.0
147,-107.0
148,-200.0
149,-197.0
150,-154.0
151,-200.0
152,-137.0
153,-128.0
154,-129.0
155,-137.0
156,-200.0
157,-200.0
158,-200.0
159,-183.0
160,-123.0
161,-176.0
162,-130.0
163,-90.0
164,-128.0
165,-159.0
166,-175.0
167,-165.0
168,-156.0
169,-173.0
170,-143.0
171,-160.0
172,-157.0
173,-200.0
174,-155.0
175,-200.0
176,-200.0
177,-162.0
178,-200.0
179,-200.0
180,-200.0
181,-179.0
182,-200.0
183,-151.0
184,-200.0
185,-200.0
186,-176.0
187,-134.0
188,-150.0
189,-200.0
190,-164.0
191,-200.0
192,-200.0
193,-180.0
194,-151.0
195,-156.0
196,-194.0
197,-185.0
198,-182.0
199,-158.0
200,-172.0
201,-168.0
202,-200.0
203,-200.0
204,-200.0
205,-200.0
206,-200.0
207,-172.0
208,-200.0
209,-120.0
210,-190.0
211,-181.0
212,-200.0
213,-164.0
214,-200.0
215,-200.0
216,-166.0
217,-200.0
218,-200.0
219,-200.0
220,-200.0
221,-200.0
222,-200.0
223,-200.0
224,-200.0
225,-195.0
226,-200.0
227,-200.0
228,-193.0
229,-200.0
230,-200.0
231,-200.0
232,-200.0
233,-200.0
234,-200.0
235,-175.0
236,-171.0
237,-200.0
238,-200.0
239,-200.0
240,-158.0
241,-200.0
242,-200.0
243,-200.0
244,-200.0
245,-200.0
246,-200.0
247,-200.0
248,-200.0
249,-194.0
250,-174.0
251,-172.0
252,-195.0
253,-160.0
254,-200.0
255,-184.0
256,-169.0
257,-107.0
258,-177.0
259,-118.0
260,-153.0
261,-126.0
262,-194.0
263,-171.0
264,-200.0
265,-158.0
266,-171.0
267,-170.0
268,-148.0
269,-127.0
270,-183.0
271,-168.0
272,-123.0
273,-124.0
274,-157.0
275,-163.0
276,-169.0
277,-164.0
278,-98.0
279,-146.0
280,-183.0
281,-140.0
282,-193.0
283,-135.0
284,-200.0
285,-200.0
286,-180.0
287,-110.0
288,-169.0
289,-183.0
290,-155.0
291,-173.0
292,-154.0
293,-168.0
294,-89.0
295,-195.0
296,-156.0
297,-189.0
298,-181.0
299,-190.0
300,-83.0
301,-113.0
302,-121.0
303,-156.0
304,-200.0
305,-200.0
306,-200.0
307,-112.0
308,-200.0
309,-182.0
310,-123.0
311,-180.0
312,-199.0
313,-163.0
314,-200.0
315,-200.0
316,-162.0
317,-200.0
318,-200.0
319,-134.0
320,-200.0
321,-130.0
322,-188.0
323,-168.0
324,-168.0
325,-117.0
326,-96.0
327,-164.0
328,-117.0
329,-156.0
330,-127.0
331,-123.0
332,-129.0
333,-91.0
334,-117.0
335,-171.0
336,-200.0
337,-184.0
338,-175.0
339,-188.0
340,-190.0
341,-200.0
342,-200.0
343,-200.0
344,-200.0
345,-200.0
346,-200.0
347,-200.0
348,-200.0
349,-200.0
350,-200.0
351,-135.0
352,-178.0
353,-200.0
354,-185.0
355,-196.0
356,-132.0
357,-163.0
358,-90.0
359,-176.0
360,-170.0
361,-178.0
362,-133.0
363,-200.0
364,-200.0
365,-200.0
366,-200.0
367,-200.0
368,-200.0
369,-200.0
370,-200.0
371,-200.0
372,-200.0
373,-200.0
374,-200.0
375,-200.0
376,-200.0
377,-200.0
378,-200.0
379,-200.0
380,-200.0
381,-200.0
