,0
0,-143.59445926386678
1,-117.31712499854406
2,-185.7185264232417
3,-294.18683603990905
4,-225.48721815408433
5,-187.84659679330343
6,-88.99666361319018
7,-87.77227730694527
8,-358.10638099371926
9,-186.7146560500792
10,-106.0867579731104
11,-211.14872895847424
12,-210.2313839855754
13,-129.59191101933868
14,-346.6439655863437
15,-49.01543531353123
16,-98.98594450897369
17,-123.69650867584888
18,-131.99346685893912
19,-185.76140347009846
20,-107.48475521982174
21,-244.30879384700205
22,-425.2696604697907
23,-110.36591994746755
24,-64.49970405728021
25,-316.99648905228867
26,-66.99766971421968
27,-175.5122158963876
28,-128.8454390605169
29,-253.35671874892537
30,-80.75150103665382
31,-101.59443926211246
32,-94.91084836715687
33,-120.6007380862601
34,-96.34954560434214
35,-142.26020553038748
36,-38.26685844879704
37,-150.56652654056595
38,-269.4582205418111
39,-223.96556944109642
40,-36.37310881623992
41,-276.4648554744257
42,-180.12151396069274
43,-491.9714144554932
44,1.8956229995345524
45,-91.53972625169612
46,-410.9404641114818
47,-163.14153391615184
48,-97.23057523066005
49,-250.55722886888097
50,-202.01540894302144
51,-97.96413992270189
52,-212.1491939268521
53,-109.12192846961383
54,-330.7582426838461
55,-327.6218436142362
56,-125.27844401445064
57,-327.3541824079331
58,-143.47572169148387
59,-73.4970666706635
60,-52.49529870306412
61,-484.1709855468584
62,-559.6874623272636
63,-416.8148472381408
64,-316.32139249602477
65,-148.84746311922663
66,-249.18270318417936
67,-212.43316763563598
68,-186.30676643658904
69,-409.5455953085893
70,-172.03663043718677
71,-105.50826513051953
72,-289.9878994095552
73,-73.20397969862736
74,-255.47730939718932
75,-135.9272483427285
76,-103.54110856903976
77,-224.31222449825606
78,-68.83700802322119
79,-966.5869839202038
80,-136.5342926031388
81,-237.24464514125881
82,-392.84422600867924
83,-194.387107196534
84,-142.16644302570344
85,-405.51054617304527
86,-299.6503790710174
87,-133.63066245266265
88,-200.2564435920093
89,-149.31603597925474
90,-63.63862484637754
91,-208.1341290810876
92,-111.88425664286778
93,-138.0461465506828
94,-195.3133500724918
95,-54.87394410842646
96,-304.75799835875824
97,-255.4851159952847
98,-112.46193550281839
99,-322.1644303866942
100,-367.6260020145563
101,-195.48277242480552
102,-427.5256650135888
103,-329.8756048206609
104,-754.7432813217957
105,-145.7160939330408
106,-240.677430600049
107,-78.31605243977997
108,-710.1412205419657
109,-500.773082597456
110,-238.44252478417388
111,-260.9992341267471
112,-357.12755817482685
