,0
0,-200.0
1,-200.0
2,-200.0
3,-200.0
4,-200.0
5,-200.0
6,-200.0
7,-200.0
8,-200.0
9,-200.0
10,-200.0
11,-200.0
12,-200.0
13,-200.0
14,-200.0
15,-200.0
16,-200.0
17,-200.0
18,-200.0
19,-200.0
20,-200.0
21,-200.0
22,-200.0
23,-200.0
24,-200.0
25,-200.0
26,-200.0
27,-200.0
28,-200.0
29,-200.0
30,-200.0
31,-200.0
32,-200.0
33,-200.0
34,-200.0
35,-200.0
36,-200.0
37,-200.0
38,-200.0
39,-200.0
40,-200.0
41,-200.0
42,-200.0
43,-200.0
44,-200.0
45,-200.0
46,-200.0
47,-200.0
48,-200.0
49,-200.0
50,-200.0
51,-194.0
52,-200.0
53,-200.0
54,-200.0
55,-200.0
56,-200.0
57,-200.0
58,-200.0
59,-200.0
60,-200.0
61,-200.0
62,-200.0
63,-200.0
64,-200.0
65,-200.0
66,-200.0
67,-200.0
68,-200.0
69,-200.0
70,-200.0
71,-200.0
72,-200.0
73,-200.0
74,-200.0
75,-200.0
76,-200.0
77,-200.0
78,-200.0
79,-200.0
80,-200.0
81,-200.0
82,-200.0
83,-200.0
84,-200.0
85,-200.0
86,-200.0
87,-200.0
88,-200.0
89,-200.0
90,-200.0
91,-200.0
92,-200.0
93,-200.0
94,-200.0
95,-200.0
96,-200.0
97,-200.0
98,-200.0
99,-200.0
100,-200.0
101,-200.0
102,-200.0
103,-200.0
104,-200.0
105,-200.0
106,-200.0
107,-200.0
108,-200.0
109,-200.0
110,-200.0
111,-200.0
112,-200.0
113,-200.0
114,-200.0
115,-200.0
116,-200.0
117,-200.0
118,-200.0
119,-200.0
120,-200.0
121,-200.0
122,-200.0
123,-200.0
124,-200.0
125,-200.0
126,-200.0
127,-200.0
128,-200.0
129,-200.0
130,-200.0
131,-200.0
132,-200.0
133,-200.0
134,-200.0
135,-200.0
136,-200.0
137,-200.0
138,-200.0
139,-200.0
140,-200.0
141,-185.0
142,-179.0
143,-200.0
144,-200.0
145,-200.0
146,-200.0
147,-200.0
148,-200.0
149,-200.0
150,-200.0
151,-158.0
152,-200.0
153,-174.0
154,-200.0
155,-200.0
156,-200.0
157,-200.0
158,-200.0
159,-151.0
160,-169.0
161,-143.0
162,-200.0
163,-200.0
164,-200.0
165,-200.0
166,-193.0
167,-178.0
168,-146.0
169,-113.0
170,-148.0
171,-190.0
172,-177.0
173,-162.0
174,-149.0
175,-146.0
176,-200.0
177,-165.0
178,-200.0
179,-200.0
180,-176.0
181,-200.0
182,-200.0
183,-200.0
184,-189.0
185,-155.0
186,-168.0
187,-194.0
188,-200.0
189,-144.0
190,-162.0
191,-187.0
192,-163.0
193,-114.0
194,-122.0
195,-173.0
196,-200.0
197,-200.0
198,-103.0
199,-200.0
200,-113.0
201,-200.0
202,-200.0
203,-170.0
204,-164.0
205,-200.0
206,-200.0
207,-165.0
208,-123.0
209,-148.0
210,-120.0
211,-183.0
212,-191.0
213,-162.0
214,-165.0
215,-139.0
216,-174.0
217,-162.0
218,-151.0
219,-200.0
220,-176.0
221,-156.0
222,-200.0
223,-181.0
224,-188.0
225,-144.0
226,-200.0
227,-135.0
228,-145.0
229,-140.0
230,-124.0
231,-127.0
232,-163.0
233,-117.0
234,-200.0
235,-156.0
236,-168.0
237,-198.0
238,-154.0
239,-200.0
240,-168.0
241,-154.0
242,-198.0
243,-195.0
244,-195.0
245,-162.0
246,-154.0
247,-180.0
248,-174.0
249,-200.0
250,-162.0
251,-165.0
252,-174.0
253,-146.0
254,-152.0
255,-200.0
256,-145.0
257,-200.0
258,-190.0
259,-113.0
260,-200.0
261,-200.0
262,-200.0
263,-118.0
264,-200.0
265,-153.0
266,-150.0
267,-150.0
268,-114.0
269,-189.0
270,-200.0
271,-200.0
272,-200.0
273,-165.0
274,-92.0
275,-200.0
276,-182.0
277,-179.0
278,-164.0
279,-142.0
280,-200.0
281,-189.0
282,-155.0
283,-137.0
284,-200.0
285,-145.0
286,-147.0
287,-178.0
288,-200.0
289,-200.0
290,-178.0
291,-200.0
292,-146.0
293,-144.0
294,-167.0
295,-147.0
296,-127.0
297,-156.0
298,-112.0
299,-200.0
300,-92.0
301,-166.0
302,-140.0
303,-122.0
304,-200.0
305,-127.0
306,-119.0
307,-147.0
308,-163.0
309,-200.0
310,-135.0
311,-177.0
312,-125.0
313,-200.0
314,-162.0
315,-115.0
316,-127.0
317,-129.0
318,-179.0
319,-133.0
320,-156.0
321,-137.0
322,-157.0
323,-178.0
324,-164.0
325,-137.0
326,-170.0
327,-155.0
328,-160.0
329,-142.0
330,-146.0
331,-149.0
332,-118.0
333,-145.0
334,-131.0
335,-200.0
336,-160.0
337,-85.0
338,-153.0
339,-150.0
340,-158.0
341,-164.0
342,-162.0
343,-163.0
344,-155.0
345,-151.0
346,-200.0
347,-172.0
348,-157.0
349,-153.0
350,-141.0
351,-110.0
352,-200.0
353,-149.0
354,-88.0
355,-173.0
356,-141.0
357,-156.0
358,-147.0
359,-150.0
360,-188.0
361,-121.0
362,-159.0
363,-120.0
364,-164.0
365,-156.0
366,-115.0
367,-163.0
368,-172.0
369,-162.0
370,-153.0
371,-132.0
372,-179.0
373,-200.0
374,-168.0
375,-172.0
376,-187.0
377,-173.0
378,-200.0
379,-200.0
380,-200.0
381,-169.0
