,0
0,-143.59445926386678
1,-117.31712499854406
2,-185.7185264232417
3,-294.18683603990905
4,-225.48721815408433
5,-288.2598226565117
6,-139.3996431114274
7,-453.23492569183423
8,-95.89215837561278
9,-177.13036192498322
10,-181.7711213875541
11,-205.0955371907276
12,-201.76943068917598
13,-216.47723120924647
14,-163.7636020036959
15,-309.1152399161398
16,-370.33656740651645
17,-384.2699820627567
18,3.656868067710775
19,-363.262337627536
20,-788.2664772163635
21,21.567736148541
22,-77.39716663432718
23,-431.8082668375841
24,-313.80713278991914
25,-545.0228405675581
26,-151.01059080143818
27,-104.85180854803684
28,-353.79144190137754
29,-95.85543970557511
30,-355.3885833156808
31,-678.3197786575387
32,-516.9030142947579
33,-423.21347157548314
34,-403.8752385303132
35,-398.53695043043234
36,-487.6909371409951
37,-245.0776244883179
38,-209.4912128011045
39,-348.08463994499516
40,-467.63215789376056
41,-383.67796968794767
42,-356.3638348973434
43,-494.10302031627754
44,-544.04377800578
45,-201.71370160894548
46,-140.98479101363682
47,-206.901381802649
48,-329.93045583446104
49,-651.3742266852171
50,-328.9641287186914
51,-124.37834515461087
52,-393.27053047277735
53,-439.397969938959
54,-192.86281775522994
55,-418.2801095699265
56,-510.8759958863161
57,-217.21609212759844
58,-481.110307912592
59,-393.3642119798891
60,-227.43960038840788
61,-328.43449649930875
62,-295.0318455629581
63,-400.4007997954193
64,-256.4935498303853
65,-220.66252821379007
66,-264.67511859906904
67,-252.77377900176876
68,-304.6595408978452
69,-252.34821395860791
70,-238.25130843069738
71,-411.69457350411557
72,-367.5382434547767
73,-355.545814367037
74,-470.18177160661554
75,-508.9587141997163
76,-604.9907833352406
77,-328.1079092634532
78,-459.1268889186626
79,-422.75033207521284
80,-259.08244598474573
81,-321.3192753776529
82,-478.2687793534062
83,-402.18727273590315
84,-302.774369887689
85,-420.3241138852199
86,-385.06854174180006
87,-107.40571942872427
88,-342.0696345031864
89,-223.9981667457604
90,-114.74260039679268
91,-460.16541999231583
92,-214.34704259863585
93,-261.57961111601423
94,-314.26263374537655
95,-251.55599339213902
96,-311.75468708921875
97,-266.64159619541977
98,-46.00266896204944
99,-239.73188032533508
100,-235.087599636223
101,-250.73532695756492
102,-247.80996755596965
103,-334.0696243635914
104,-287.28838850486716
105,-121.43758294781527
106,-249.43838228982193
107,-217.29389696367014
108,-321.62989567424154
109,-504.08072836268366
110,-408.7652150814043
111,-311.0568429932555
112,-563.3481656194427
113,-109.0101766201604
